,Issue Id,Assignee_email,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
2948,79276782,int_464,int_464,2021-02-17T14:41:07.681Z,2021-02-21T09:08:04.210Z,0,0.0
2949,79276212,int_291,int_291,2021-02-17T14:32:04.990Z,2021-02-17T14:57:53.899Z,0,0.0
2950,79276034,int_280,int_146,2021-02-17T14:29:23.190Z,2021-02-23T07:35:56.272Z,1800,0.0
2951,79275583,int_351,int_388,2021-02-17T14:22:19.450Z,2021-03-31T12:31:56.372Z,86400,61200.0
2952,79275491,int_355,int_349,2021-02-17T14:20:26.792Z,2021-02-21T15:21:12.924Z,1800,1200.0
2953,79274956,int_464,int_464,2021-02-17T14:12:08.256Z,2021-02-21T09:15:33.571Z,0,0.0
2954,79274792,int_284,int_254,2021-02-17T14:10:08.868Z,2021-02-21T08:50:09.150Z,0,0.0
2955,79273577,int_236,int_236,2021-02-17T13:56:21.668Z,2021-02-17T14:53:53.077Z,0,0.0
2956,79272527,int_354,int_319,2021-02-17T13:47:00.615Z,2021-02-22T08:55:24.074Z,0,0.0
2957,79271010,int_369,int_177,2021-02-17T13:31:14.491Z,2021-02-21T09:45:16.096Z,0,0.0
2958,79269477,int_286,int_286,2021-02-17T13:11:13.845Z,2021-03-01T08:57:45.401Z,900,900.0
2959,79268813,int_275,int_275,2021-02-17T13:01:05.101Z,2021-02-23T04:40:52.659Z,0,10800.0
2960,79267557,int_388,int_388,2021-02-17T12:43:11.167Z,2021-02-21T08:58:40.969Z,10800,7200.0
2961,79267520,,int_423,2021-02-17T12:42:36.929Z,,0,0.0
2962,79267311,,int_423,2021-02-17T12:40:51.886Z,,0,0.0
2963,79267243,int_352,int_338,2021-02-17T12:39:56.597Z,2021-03-10T07:37:18.705Z,18000,18000.0
2964,79267116,int_434,int_434,2021-02-17T12:38:58.021Z,,0,0.0
2965,79267108,,int_423,2021-02-17T12:38:51.590Z,,43200,0.0
2966,79267044,,int_423,2021-02-17T12:38:00.769Z,,0,0.0
2967,79266041,int_400,int_254,2021-02-17T12:23:19.760Z,2021-02-21T10:48:50.901Z,0,0.0
2968,79265931,int_354,int_319,2021-02-17T12:21:58.271Z,2021-02-23T10:56:18.248Z,14400,0.0
2969,79265866,int_307,int_307,2021-02-17T12:21:06.465Z,2021-02-17T16:33:16.852Z,0,5400.0
2970,79265751,int_415,int_415,2021-02-17T12:19:27.688Z,2021-02-17T13:10:20.242Z,300,300.0
2971,79265469,int_291,int_291,2021-02-17T12:15:25.331Z,2021-02-19T18:39:05.036Z,0,0.0
2972,79264398,int_467,int_368,2021-02-17T12:00:46.546Z,2021-02-24T07:12:24.094Z,14400,14400.0
2973,79264340,,int_368,2021-02-17T11:59:36.971Z,,28800,0.0
2974,79264205,int_467,int_368,2021-02-17T11:57:50.944Z,2021-02-24T07:12:25.134Z,14400,14400.0
2975,79262696,int_367,int_367,2021-02-17T11:36:36.066Z,2021-02-23T06:40:51.894Z,28800,36000.0
2976,79259312,int_397,int_98,2021-02-17T10:53:26.486Z,2021-02-17T14:56:02.419Z,10800,0.0
2977,79259304,int_421,int_421,2021-02-17T10:53:19.033Z,2021-02-28T11:45:41.055Z,86400,86400.0
2978,79259078,int_149,int_146,2021-02-17T10:50:39.890Z,2021-02-24T07:00:58.139Z,0,0.0
2979,79258982,int_280,int_338,2021-02-17T10:50:17.997Z,2021-02-23T07:19:53.043Z,7200,0.0
2980,79258801,int_352,int_146,2021-02-17T10:48:53.367Z,2021-02-21T10:36:23.637Z,10800,3600.0
2981,79256258,int_339,int_108,2021-02-17T10:25:35.760Z,2021-02-17T13:56:38.430Z,14400,7200.0
2982,79256118,,int_338,2021-02-17T10:23:34.365Z,2021-02-21T10:30:42.864Z,900,0.0
2983,79256067,int_238,int_238,2021-02-17T10:23:15.962Z,2021-02-17T10:43:58.614Z,0,0.0
2984,79254365,int_340,int_340,2021-02-17T10:08:18.628Z,2021-02-17T12:28:26.496Z,5400,5400.0
2985,79253911,,int_432,2021-02-17T10:05:02.975Z,,0,0.0
2986,79253328,int_346,int_346,2021-02-17T10:00:45.162Z,2021-02-17T10:12:54.349Z,1200,1200.0
2987,79253175,int_46,int_46,2021-02-17T09:58:44.641Z,,900,900.0
2988,79252222,int_397,int_432,2021-02-17T09:49:06.581Z,2021-02-28T07:05:02.560Z,86400,0.0
2989,79252155,int_346,int_34,2021-02-17T09:48:37.551Z,2021-02-17T10:20:26.051Z,1800,1800.0
2990,79251384,int_401,int_401,2021-02-17T09:43:14.605Z,2021-02-17T09:49:20.108Z,7200,5400.0
2991,79250506,int_440,int_204,2021-02-17T09:36:28.985Z,2021-04-29T09:58:05.121Z,0,0.0
2992,79250067,int_367,int_436,2021-02-17T09:32:31.832Z,2021-02-23T12:32:59.629Z,28800,21600.0
2993,79249476,int_355,int_349,2021-02-17T09:26:04.518Z,2021-02-25T14:14:12.390Z,6000,3600.0
2994,79248751,,int_33,2021-02-17T09:17:53.560Z,2021-05-20T09:45:51.907Z,43200,0.0
2995,79248669,int_354,int_319,2021-02-17T09:17:19.625Z,2021-02-17T10:39:00.475Z,3600,3600.0
2996,79248286,int_346,int_338,2021-02-17T09:12:46.199Z,2021-02-17T09:36:40.128Z,3000,2400.0
2997,79248205,int_278,int_278,2021-02-17T09:11:50.164Z,2021-02-17T10:21:10.563Z,0,10800.0
2998,79247900,int_307,int_307,2021-02-17T09:08:52.083Z,2021-03-08T06:53:58.382Z,0,0.0
2999,79245486,int_405,int_194,2021-02-17T08:35:13.413Z,2021-05-16T10:47:38.207Z,0,0.0
3000,79245469,int_388,int_388,2021-02-17T08:34:51.867Z,2021-02-21T14:04:20.477Z,14400,10800.0
3001,79245157,int_415,int_317,2021-02-17T08:31:09.216Z,2021-02-21T13:56:59.502Z,28800,28800.0
3002,79244886,int_380,int_181,2021-02-17T08:29:10.937Z,2021-02-17T10:21:56.066Z,600,0.0
3003,79243823,int_356,int_37,2021-02-17T08:14:18.419Z,2021-03-29T06:10:12.722Z,14400,14400.0
3004,79243688,int_289,int_289,2021-02-17T08:10:59.138Z,2021-02-22T09:44:02.105Z,7200,21600.0
3005,79243365,int_355,int_348,2021-02-17T08:04:58.176Z,2021-03-04T10:52:51.475Z,57600,0.0
3006,87425284,,int_423,2021-02-17T08:04:52.219Z,,43200,0.0
3007,79243361,int_376,int_423,2021-02-17T08:04:52.219Z,2021-05-20T10:22:24.261Z,43200,0.0
3008,79242917,int_378,int_378,2021-02-17T07:56:31.524Z,2021-03-18T13:18:37.613Z,3600,0.0
3009,79242890,,int_150,2021-02-17T07:56:08.800Z,2021-02-24T04:40:40.087Z,0,0.0
3010,80543738,,int_238,2021-02-17T07:43:23.174Z,,0,0.0
3011,79241412,,int_462,2021-02-17T07:20:48.080Z,,0,0.0
3012,79241005,int_362,int_93,2021-02-17T07:09:47.422Z,2021-02-23T11:19:04.869Z,72000,72000.0
3013,79240968,int_307,int_307,2021-02-17T07:08:03.580Z,2021-02-17T11:54:09.022Z,0,3600.0
3014,79240908,int_333,int_411,2021-02-17T07:05:16.128Z,2021-02-28T01:58:05.497Z,115200,115200.0
3015,79240871,int_410,int_411,2021-02-17T07:04:38.441Z,,0,43200.0
3016,79240835,int_333,int_411,2021-02-17T07:03:57.479Z,2021-03-03T11:57:22.185Z,0,0.0
3017,79240366,int_199,int_423,2021-02-17T06:52:06.824Z,,0,0.0
3018,79240201,int_386,int_340,2021-02-17T06:48:09.700Z,2021-02-17T12:35:18.936Z,7200,7200.0
3019,79240134,,int_423,2021-02-17T06:46:13.490Z,,14400,0.0
3020,79239993,,int_423,2021-02-17T06:43:38.330Z,,28800,0.0
3021,79239585,,int_423,2021-02-17T06:35:26.792Z,,0,0.0
3022,86492014,int_376,int_423,2021-02-17T06:33:00.322Z,2021-05-06T08:39:15.386Z,64800,28800.0
3023,79239477,int_376,int_423,2021-02-17T06:33:00.322Z,2021-05-05T06:17:26.912Z,64800,0.0
3024,79238962,,int_150,2021-02-17T06:20:26.282Z,2021-03-14T05:59:40.812Z,0,0.0
3025,79238496,int_389,int_317,2021-02-17T06:12:13.392Z,2021-02-24T12:27:47.267Z,0,0.0
3026,79237128,,int_150,2021-02-17T05:44:46.035Z,,0,0.0
3027,79236686,,int_150,2021-02-17T05:34:27.931Z,2021-03-14T05:59:40.681Z,0,0.0
3028,79236521,,int_150,2021-02-17T05:30:44.920Z,2021-03-14T06:47:46.628Z,0,0.0
3029,79217423,,int_150,2021-02-16T19:32:55.084Z,,0,0.0
3030,79211492,int_159,int_387,2021-02-16T17:31:15.105Z,2021-03-14T08:16:44.739Z,144000,86400.0
3031,79209488,int_341,int_341,2021-02-16T16:51:24.570Z,2021-02-17T09:48:53.798Z,14400,10800.0
3032,79209060,int_291,int_291,2021-02-16T16:43:26.439Z,2021-02-16T17:12:20.837Z,0,0.0
3033,79205733,int_280,int_82,2021-02-16T15:44:32.259Z,,0,0.0
3034,79204742,int_292,int_292,2021-02-16T15:27:20.037Z,2021-02-28T15:40:00.726Z,165600,165600.0
3035,79202557,int_421,int_421,2021-02-16T15:12:25.552Z,2021-02-28T11:46:28.042Z,86400,86400.0
3036,79201763,int_307,int_307,2021-02-16T15:11:23.232Z,2021-02-16T15:19:35.875Z,0,1200.0
3037,79201137,int_337,int_338,2021-02-16T15:07:18.413Z,2021-02-21T13:19:05.176Z,5400,3600.0
3038,79200791,,int_468,2021-02-16T15:02:06.354Z,,0,0.0
