,date_time_utc,event_id,recipient_address,recipient_status,sender_address
5049,2021-02-21T12:35:03.5240000Z,TRANSFER,int_87;,,int_82
5050,2021-02-14T13:23:07.6380000Z,RECIPIENTINFO,ext_55;,MailUser.Contact.Resolver.CreateRecipientItems.30,int_1
5051,2021-02-04T11:42:48.3770000Z,RESUBMIT,ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;int_221;,Message forked,int_1
5052,2021-02-03T16:21:13.2000000Z,AGENTINFO,ext_257;,,int_147
5053,2021-02-25T13:43:38.8140000Z,RECIPIENTINFO,int_177;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
5054,2021-02-24T13:52:12.9070000Z,TRANSFER,int_5;int_5;,,int_1
5055,2021-02-23T16:02:22.7890000Z,AGENTINFO,int_8;int_7;int_5;int_5;int_2;,,int_54
5056,2021-02-24T07:40:15.0950000Z,AGENTINFO,ext_55;,,int_1
5057,2021-02-21T21:43:45.2060000Z,RECEIVE,ext_251;int_74;ext_251;ext_251;,To;Cc;Cc;Cc,int_231
5058,2021-02-02T13:55:02.0320000Z,SETROUTE,ext_117;,,int_141
5059,2021-02-02T10:05:05.7380000Z,RECEIVE,int_18;,Unknown,int_1
5060,2021-02-02T00:34:11.4690000Z,RECIPIENTINFO,int_58;int_58;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
5061,2021-02-04T15:01:06.4470000Z,AGENTINFO,int_241;,,int_71
5062,2021-02-17T06:24:10.1450000Z,RECEIVE,ext_197;ext_197;int_28;ext_197;,To;Cc;Cc;Cc,int_90
5063,2021-02-03T16:21:13.0830000Z,AGENTINFO,ext_257;ext_257;ext_257;ext_257;ext_257;ext_257;,,int_147
5064,2021-02-10T07:56:06.1480000Z,AGENTINFO,ext_116;,,int_1
5065,2021-02-24T08:20:18.0660000Z,RECIPIENTINFO,ext_55;,MailContact.Contact.Resolver.CreateRecipientItems.50,int_1
5066,2021-02-04T11:42:49.0510000Z,AGENTINFO,ext_55;,,int_1
5067,2021-02-04T13:44:35.2740000Z,SETROUTE,ext_239;,,int_184
5068,2021-02-03T16:21:13.4490000Z,DELIVER,int_263;,,int_147
5069,2021-02-03T14:03:04.9490000Z,RECIPIENTINFO,int_153;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
