,Assignee_email,total_tasks,sender_address,recipients_addresses,recipients_addresses_count
63,int_319,2,int_319,"['int_310', 'int_155', 'int_310', 'int_155', 'int_310', 'int_155', 'int_310', 'int_155', 'int_310', 'int_155', 'int_155', 'int_310', 'int_155', 'int_310']",14.0
64,int_332,2,,,
65,int_333,37,int_333,"['int_29', 'int_29', 'int_29', 'int_29', 'int_29', 'int_29', 'int_29']",7.0
66,int_336,1,,,
67,int_337,57,,,
68,int_338,126,,,
69,int_339,37,,,
70,int_340,107,,,
71,int_341,61,,,
72,int_342,6,,,
73,int_343,105,,,
74,int_344,23,,,
75,int_345,22,,,
76,int_346,80,,,
77,int_347,107,,,
78,int_348,108,,,
79,int_349,24,,,
80,int_350,8,,,
81,int_351,17,,,
82,int_352,75,,,
83,int_353,24,,,
84,int_354,47,,,
85,int_355,121,,,
86,int_356,19,,,
87,int_357,72,,,
88,int_358,15,,,
89,int_359,38,,,
90,int_360,11,,,
91,int_361,29,,,
92,int_362,22,,,
93,int_363,5,,,
94,int_365,36,,,
95,int_366,36,,,
96,int_367,16,,,
97,int_368,25,,,
98,int_369,60,,,
99,int_370,49,,,
100,int_371,18,,,
101,int_372,22,,,
102,int_373,25,,,
103,int_375,1,,,
104,int_376,44,,,
105,int_377,3,,,
106,int_378,70,,,
107,int_379,12,,,
108,int_38,3,int_38,"['int_236', 'int_236', 'int_236', 'int_236', 'int_236', 'int_236', 'int_236']",7.0
109,int_380,66,,,
110,int_381,32,,,
111,int_382,17,,,
112,int_383,12,,,
113,int_384,10,,,
114,int_385,40,,,
115,int_386,60,,,
116,int_388,16,,,
117,int_389,21,,,
118,int_39,6,,,
119,int_390,24,,,
120,int_391,20,,,
121,int_393,48,,,
122,int_394,8,,,
123,int_395,12,,,
124,int_396,7,,,
125,int_397,27,,,
126,int_398,1,,,
127,int_399,36,,,
128,int_4,15,,,
