num,Issue Id,Description,Assignee_Id,Assignee_email,Reporter_id,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
1745,80445610,increase core to 2.4.1,4545525.0,int_464,4545525,int_464,2021-03-08T08:12:58.294Z,2021-03-08T08:52:50.239Z,0,0.0
1746,80445533,fix releasing stage,3632079.0,int_17,3632079,int_17,2021-03-08T08:12:07.938Z,2021-03-08T09:06:55.092Z,0,0.0
1747,80445101,refactor role page code,5205719.0,NA,5205719,NA,2021-03-08T08:07:23.642Z,2021-03-08T08:11:41.360Z,0,0.0
1748,80444739,"monitoring clusters (Navy, espreso)",3117607.0,NA,3117607,NA,2021-03-08T08:03:59.987Z,,0,0.0
1749,80444235,"update description of reason code 18 to be ""Stop Pay by Drawer"" instead of ""Blocked Amount""",3016025.0,NA,3596325,int_39,2021-03-08T07:58:24.167Z,2021-03-11T14:16:11.776Z,28800,18000.0
1750,80442944,Manage Exceptions,3097752.0,int_2,3097752,int_2,2021-03-08T07:43:41.726Z,2021-03-08T12:41:28.409Z,0,0.0
1751,80442846,Add user branch records auth filter,3918459.0,int_257,3918459,int_257,2021-03-08T07:42:41.219Z,2021-03-11T14:19:02.525Z,7200,39600.0
1752,80442337,Portlate with wrong column header,6156851.0,NA,3097752,int_2,2021-03-08T07:31:51.310Z,2021-03-08T09:35:07.950Z,0,0.0
1753,80442223,Add the reason with code and ID 154 to reasons table to handle the case of UpdateCorporate With Registration does not exist,3918549.0,NA,2982345,int_510,2021-03-08T07:29:10.119Z,2021-03-08T08:45:11.298Z,0,0.0
1754,80442198,add backend for role privileges to list all privileges with their children,5205719.0,NA,3891855,NA,2021-03-08T07:28:26.603Z,2021-03-16T06:39:39.289Z,14400,14400.0
1755,80441977,Create commercial bank transfer service using fabric Blockchain,5205722.0,NA,5205722,NA,2021-03-08T07:23:44.360Z,2021-03-18T20:37:02.997Z,144000,162000.0
1756,80441906,Move SwiftyRSA to the project,,NA,4011806,int_382,2021-03-08T07:22:00.673Z,,0,0.0
1757,80441549,receive incoming direct Debit payment batch,3596321.0,int_468,3596325,int_39,2021-03-08T07:14:07.644Z,2021-03-21T13:22:25.965Z,57600,39600.0
1758,80441011,Upgrade core version to v2.4.0,2958010.0,int_239,2958010,int_239,2021-03-08T07:03:48.274Z,2021-03-08T10:00:36.706Z,0,10800.0
1759,80440466,Refactor mpay jfw functions and Validators,2992179.0,NA,2992179,NA,2021-03-08T06:53:19.164Z,,86400,0.0
1760,80436827,liquibase configration,3390466.0,NA,3390466,NA,2021-03-08T05:47:38.961Z,2021-03-08T08:39:50.483Z,10800,10800.0
1761,80436110,Handle font family and change all static size,2997066.0,int_460,2997066,int_460,2021-03-08T05:14:46.357Z,2021-03-08T12:57:36.326Z,9000,21600.0
1762,80436108,Add verfication functionality,3016035.0,int_415,3016035,int_415,2021-03-08T05:14:42.369Z,2021-03-11T07:57:45.434Z,86400,0.0
1763,80418939,issue when we have cheque incomplete data,3612141.0,int_416,3099369,int_55,2021-03-07T18:04:08.457Z,,0,0.0
1764,80417018,Additional information to be filled by the teller,,NA,3074484,int_127,2021-03-07T16:39:47.482Z,,0,0.0
1765,80415982,fix core message persist,3072580.0,NA,3072580,NA,2021-03-07T15:54:10.314Z,2021-03-08T10:21:45.615Z,3600,3600.0
1766,80414175,fix dashboard routing,3918495.0,int_491,3918495,int_491,2021-03-07T15:46:39.650Z,2021-03-09T10:55:55.420Z,86400,86400.0
1767,80879276,SWIFT - Move the default filter date to the top of filter instead of additional fields,,NA,3084296,int_42,2021-03-07T15:43:07.006Z,2021-03-15T13:24:30.959Z,0,0.0
1768,80879279,PROD - Payment under accepted complete status showing in Red color,,NA,3084296,int_42,2021-03-07T15:39:56.592Z,2021-03-14T14:46:08.743Z,0,0.0
1769,80413826,Inject Crm Corporate Terminate plugin into zain core spring plugins,2982385.0,NA,2982345,int_510,2021-03-07T15:28:12.191Z,2021-03-15T06:59:16.315Z,0,84600.0
